"Name","Owner","Tier","Score","Pitch","Phone","Email","Email Quality","Reviews","Rating","Website","Site Type","Possible Duplicate Of","Category","Address","All Emails","Profile URL"
"Hudson Law Group","David Treyster","Cool","48","Hi David, you've built a solid foundation (67 reviews, 5★). The next leverage point is consistent paid acquisition. I'd be happy to share what's working for similar local businesses.","(347) 815-2969","david@hudsonlawny.com","Personal","67","5","http://www.hudsonlawny.com/","Own site","","Law firm","745 5th Ave Ste 500, New York, NY 10151","david@hudsonlawny.com; info@hudsonlawny.com","https://www.google.com/maps/place/Hudson+Law+Group/data=!4m7!3m6!1s0x89c258fa9c7deadd:0xd1ba71016d2cc25!8m2!3d40.763311!4d-73.9732453!16s%2Fg%2F11bychtkfk!19sChIJ3ep9nPpYwokRJczSFhCnGw0?authuser=0&hl=en&rclk=1"
"Pechman Law Group PLLC","","Warm","58","Your site is solid. With 246 reviews and 4.9★, the growth ceiling now is paid acquisition, not website. I helped Meal JOY 3x revenue with Meta ads (~5x ROAS over 3 months). Happy to walk through what would translate.","(212) 583-9500","info@pechmanlaw.com","Role","246","4.9","https://pechmanlaw.com/","Own site","","Law firm","488 Madison Ave Suite 1704, New York, NY 10022","info@pechmanlaw.com","https://www.google.com/maps/place/Pechman+Law+Group+PLLC/data=!4m7!3m6!1s0x89c258fc77c0637d:0x1bc18b1cb939e71!8m2!3d40.7589103!4d-73.9751974!16s%2Fg%2F1tdv_t1h!19sChIJfWPAd_xYwokRcZ6Ty7EYvAE?authuser=0&hl=en&rclk=1"
"The Law Firm of Dmitriy Shakhnevich PLLC","Dmitriy Shakhnevich","Warm","68","Hi Dmitriy, your site is solid. With 308 reviews and 4.9★, the growth ceiling now is paid acquisition, not website. I helped Meal JOY 3x revenue with Meta ads (~5x ROAS over 3 months). Happy to walk through what would translate.","(212) 913-9703","ds@dshaklaw.com","Personal","308","4.9","http://www.dshaklaw.com/","Own site","","Law firm","305 Broadway #210, New York, NY 10007","ds@dshaklaw.com","https://www.google.com/maps/place/The+Law+Firm+of+Dmitriy+Shakhnevich+PLLC/data=!4m7!3m6!1s0x89c2447900f7a4e7:0xcfb21a0cfa7f58ae!8m2!3d40.7155282!4d-74.0055765!16s%2Fg%2F11bbrh4t_y!19sChIJ56T3AHlEwokRrlh_-gwass8?authuser=0&hl=en&rclk=1"
"Leav & Steinberg, LLP","","Cool","50","Your site is solid. With 133 reviews and 4.7★, the growth ceiling now is paid acquisition, not website. I helped Meal JOY 3x revenue with Meta ads (~5x ROAS over 3 months). Happy to walk through what would translate.","(212) 766-5222","","","133","4.7","https://www.nyaccidentlawyer.com/office-locations/manhattan-office/?utm_source=gbp&utm_medium=organic&utm_campaign=website&utm_term=manhattan","Own site","","Leav & Steinberg, LLP","Law firm ·  · 75 Broad St #1601","","https://www.google.com/maps/place/Leav+%26+Steinberg,+LLP/data=!4m7!3m6!1s0x89c25a176debd91f:0xafcbfe652338b192!8m2!3d40.7046519!4d-74.0112472!16s%2Fg%2F1tknlc3q!19sChIJH9nrbRdawokRkrE4I2X-y68?authuser=0&hl=en&rclk=1"
"Kulen Law Firm P.C.","Remzi Guvenc","Warm","68","Hi Remzi, your site is solid. With 526 reviews and 4.9★, the growth ceiling now is paid acquisition, not website. I helped Meal JOY 3x revenue with Meta ads (~5x ROAS over 3 months). Happy to walk through what would translate.","(212) 904-1506","kulen@kulenlawfirm.com","Personal","526","4.9","http://www.kulenlawfirm.com/","Own site","","Attorney","264 W 40th St 18th Floor, New York, NY 10018","kulen@kulenlawfirm.com; touchcontact+1-212-904-1506kulen@kulenlawfirm.com; goals.contact+1-212-904-1506kulen@kulenlawfirm.com; teamcontact+1-212-904-1506kulen@kulenlawfirm.com; kulen@kulenlaw.com","https://www.google.com/maps/place/Kulen+Law+Firm+P.C./data=!4m7!3m6!1s0x89c259afa8e5959b:0x9a79607182dc9163!8m2!3d40.755568!4d-73.9903732!16s%2Fg%2F11b6dvs5gk!19sChIJm5XlqK9ZwokRY5HcgnFgeZo?authuser=0&hl=en&rclk=1"
"Rosenberg, Minc, Falkoff & Wolff, LLP","","Cool","54","Your site is solid. With 116 reviews and 4.7★, the growth ceiling now is paid acquisition, not website. I helped Meal JOY 3x revenue with Meta ads (~5x ROAS over 3 months). Happy to walk through what would translate.","(212) 697-9280","info@rmfwlaw.com","Role","116","4.7","https://rmfwlaw.com/?utm_source=nyc&utm_medium=organic&utm_campaign=gmb","Own site","","Law firm","122 E 42nd St #3800, New York, NY 10168","info@rmfwlaw.com","https://www.google.com/maps/place/Rosenberg,+Minc,+Falkoff+%26+Wolff,+LLP/data=!4m7!3m6!1s0x89c25903ce155677:0x2ce5ce922c6abb29!8m2!3d40.7511977!4d-73.976591!16s%2Fg%2F1tcwxn18!19sChIJd1YVzgNZwokRKbtqLJLO5Sw?authuser=0&hl=en&rclk=1"
"Phillips & Associates | Sexual Harassment, Discrimination, & Employment Lawyers","","Warm","64","Your site is solid. With 713 reviews and 4.8★, the growth ceiling now is paid acquisition, not website. I helped Meal JOY 3x revenue with Meta ads (~5x ROAS over 3 months). Happy to walk through what would translate.","(866) 302-3891","","","713","4.8","https://www.newyorkcitydiscriminationlawyer.com/","Own site","","Law firm","45 Broadway 28th Floor, New York, NY 10006","","https://www.google.com/maps/place/Phillips+%26+Associates+%7C+Sexual+Harassment,+Discrimination,+%26+Employment+Lawyers/data=!4m7!3m6!1s0x89c25a113986f6b9:0x3b346c39a1a58b8c!8m2!3d40.7064331!4d-74.0129986!16s%2Fg%2F1hdzvqhjn!19sChIJufaGORFawokRjIuloTlsNDs?authuser=0&hl=en&rclk=1"
"Krymkier Law","","Cool","36","You've built a solid foundation (43 reviews, 5★). The next leverage point is consistent paid acquisition. I'd be happy to share what's working for similar local businesses.","(646) 397-3640","","","43","5","https://www.frenchamericanlawyer.com/","Own site","","Krymkier Law","Law firm ·  · 1270 6th Ave Fl 7","","https://www.google.com/maps/place/Krymkier+Law/data=!4m7!3m6!1s0x89c258f8daefc7b3:0x138b2f4cdabaa1c0!8m2!3d40.7600664!4d-73.9798152!16s%2Fg%2F11b5wlq0vc!19sChIJs8fv2vhYwokRwKG62kwvixM?authuser=0&hl=en&rclk=1"
"Bachuwa Law","Alexander Bachuwa","Cool","50","Bachuwa Law has no scraped contact info. Look them up manually on Instagram or their booking platform before pitching.","","","","169","4.9","http://bachuwalaw.com/","Own site","","Bachuwa Law","Law firm ·  · 745 5th Ave #500","","https://www.google.com/maps/place/Bachuwa+Law/data=!4m7!3m6!1s0x89c25a19c69a2b87:0x5af79db8e5ae8fbe!8m2!3d40.7632008!4d-73.9734717!16s%2Fg%2F11g8v52ndf!19sChIJhyuaxhlawokRvo-u5bid91o?authuser=0&hl=en&rclk=1"
"Pardalis & Nohavicka Lawyers","","Cool","40","You've built a solid foundation (92 reviews, 4.7★). The next leverage point is consistent paid acquisition. I'd be happy to share what's working for similar local businesses.","(718) 777-0400","","","92","4.7","http://pnlawyers.com/","Own site","Pardalis and Nohavicka Lawyers","Law firm","29-20 23rd Ave 4th floor, Astoria, NY 11105","","https://www.google.com/maps/place/Pardalis+%26+Nohavicka+Lawyers/data=!4m7!3m6!1s0x89c25f3a38370e83:0x980ebbf6d0ea0b22!8m2!3d40.7745521!4d-73.9133463!16s%2Fg%2F12jm5kk7n!19sChIJgw43ODpfwokRIgvq0Pa7Dpg?authuser=0&hl=en&rclk=1"
"Redmond Law Firm, PLLC","","Warm","68","Your site is solid. With 756 reviews and 4.9★, the growth ceiling now is paid acquisition, not website. I helped Meal JOY 3x revenue with Meta ads (~5x ROAS over 3 months). Happy to walk through what would translate.","(646) 285-7115","credmond@redmondfirm.com","Personal","756","4.9","https://redmondfirm.com/","Own site","","Law firm","206 Livingston St, Brooklyn, NY 11201","credmond@redmondfirm.com","https://www.google.com/maps/place/Redmond+Law+Firm,+PLLC/data=!4m7!3m6!1s0x89c25a16557702b5:0xb99f1794523b903d!8m2!3d40.6895384!4d-73.9860449!16s%2Fg%2F1yf_9rpzr!19sChIJtQJ3VRZawokRPZA7UpQXn7k?authuser=0&hl=en&rclk=1"
"Feiner & Lavy P.C","","Warm","60","Your site is solid. With 364 reviews and 4.7★, the growth ceiling now is paid acquisition, not website. I helped Meal JOY 3x revenue with Meta ads (~5x ROAS over 3 months). Happy to walk through what would translate.","(212) 571-9200","","","364","4.7","https://www.drimmigration.com/","Own site","","Feiner & Lavy P.C","Immigration attorney ·  · 325 Broadway Suite 401","","https://www.google.com/maps/place/Feiner+%26+Lavy+P.C/data=!4m7!3m6!1s0x89c25a21b4d13ea5:0x75e63b2551a48135!8m2!3d40.7161668!4d-74.0049587!16s%2Fg%2F1vp74pt8!19sChIJpT7RtCFawokRNYGkUSU75nU?authuser=0&hl=en&rclk=1"
"Joseph & Norinsberg - NYC Sexual Harassment & Employment Discrimination Lawyers","","Warm","58","Your site is solid. With 240 reviews and 4.8★, the growth ceiling now is paid acquisition, not website. I helped Meal JOY 3x revenue with Meta ads (~5x ROAS over 3 months). Happy to walk through what would translate.","(646) 798-4433","info@employeejustice.com","Role","240","4.8","https://employeejustice.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-nyc","Own site","","Joseph & Norinsberg - NYC Sexual Harassment & Employment Discrimination Lawyers","Law firm ·  · 825 3rd Ave #2100","info@employeejustice.com","https://www.google.com/maps/place/Joseph+%26+Norinsberg+-+NYC+Sexual+Harassment+%26+Employment+Discrimination+Lawyers/data=!4m7!3m6!1s0x89c25a18f6ff8225:0x329ddea7209be3c6!8m2!3d40.757962!4d-73.9708356!16s%2Fg%2F1q5ccv8jd!19sChIJJYL_9hhawokRxuObIKfenTI?authuser=0&hl=en&rclk=1"
"Trademark Patent Lawyer NYC","Mark Derek Fahey","Skip","26","Hi Mark, Trademark Patent Lawyer NYC is early-stage — most growth services don't make ROI sense yet. Worth circling back once you're past 50+ reviews. If you're focused on review velocity right now, happy to share what works.","(212) 381-6189","","","13","4.7","http://nycpatentandtrademarklawyer.com/","Own site","","Trademark Patent Lawyer NYC","Patent attorney ·  · 112 W 34th St. 18th floor","","https://www.google.com/maps/place/Trademark+Patent+Lawyer+NYC/data=!4m7!3m6!1s0x89c2590a022150fb:0x4f7d1ef526b97a73!8m2!3d40.7500039!4d-73.9893899!16s%2Fg%2F11gl4mjwxt!19sChIJ-1AhAgpZwokRc3q5JvUefU8?authuser=0&hl=en&rclk=1"
"Kurta Law","","Cool","48","You've built a solid foundation (97 reviews, 5★). The next leverage point is consistent paid acquisition. I'd be happy to share what's working for similar local businesses.","(877) 600-0098","info@kurtalawfirm.com","Role","97","5","https://www.kurtalawfirm.com/","Own site","","Kurta Law","Law firm ·  · 295 Madison Ave #705","info@kurtalawfirm.com","https://www.google.com/maps/place/Kurta+Law/data=!4m7!3m6!1s0x89c25907e549e255:0x4b462f577a5e419b!8m2!3d40.7518131!4d-73.9792251!16s%2Fg%2F1td54bmd!19sChIJVeJJ5QdZwokRm0FeelcvRks?authuser=0&hl=en&rclk=1"
"Field Law Group","","Cool","44","You've built a solid foundation (62 reviews, 4.6★). The next leverage point is consistent paid acquisition. I'd be happy to share what's working for similar local businesses.","(212) 739-7278","newcase@fieldlawgroupny.com","Personal","62","4.6","https://fieldlawgroupny.com/","Own site","","Field Law Group","Personal injury attorney ·  · 17 State St 40th Floor","newcase@fieldlawgroupny.com","https://www.google.com/maps/place/Field+Law+Group/data=!4m7!3m6!1s0x89c25a13a1e6aaab:0x858ff6e7a908eb3a!8m2!3d40.7028856!4d-74.0139293!16s%2Fg%2F11h06n53yb!19sChIJq6rmoRNawokROusIqef2j4U?authuser=0&hl=en&rclk=1"
"The Ward Law Group, PLLC","Partners Of","Warm","64","Hi Partners, your site is solid. With 400 reviews and 4.9★, the growth ceiling now is paid acquisition, not website. I helped Meal JOY 3x revenue with Meta ads (~5x ROAS over 3 months). Happy to walk through what would translate.","(646) 956-2797","","","400","4.9","https://www.855dolor55.com/new-york/?utm_source=google&utm_medium=organic&utm_campaign=nyGMB","Own site","","The Ward Law Group, PLLC","Law firm ·  · 535 5th Ave Suite 2600","","https://www.google.com/maps/place/The+Ward+Law+Group,+PLLC/data=!4m7!3m6!1s0x89c259fea008c2c3:0x173a402e57c1c1b9!8m2!3d40.7548367!4d-73.9793987!16s%2Fg%2F11tgcw6qxr!19sChIJw8IIoP5ZwokRucHBVy5AOhc?authuser=0&hl=en&rclk=1"
"Nisar Law Group, P.C.","","Cool","50","Your site is solid. With 207 reviews and 4.6★, the growth ceiling now is paid acquisition, not website. I helped Meal JOY 3x revenue with Meta ads (~5x ROAS over 3 months). Happy to walk through what would translate.","(212) 600-9534","","","207","4.6","https://www.nisarlaw.com/","Own site","","Law firm","60 E 42nd St #4600, New York, NY 10165","","https://www.google.com/maps/place/Nisar+Law+Group,+P.C./data=!4m7!3m6!1s0x89c258e32e31eca7:0x757227ea25fc83cf!8m2!3d40.7522858!4d-73.9785862!16s%2Fg%2F11btx0xmg1!19sChIJp-wxLuNYwokRz4P8JeoncnU?authuser=0&hl=en&rclk=1"
"The Bàez Legal Group","","Cool","54","Your site is solid. With 110 reviews and 5★, the growth ceiling now is paid acquisition, not website. I helped Meal JOY 3x revenue with Meta ads (~5x ROAS over 3 months). Happy to walk through what would translate.","(888) 223-9529","","","110","5","https://www.baezlegal.com/","Own site","","The Bàez Legal Group","Law firm ·  · 261 Madison Ave","","https://www.google.com/maps/place/The+B%C3%A0ez+Legal+Group/data=!4m7!3m6!1s0x89c25900da7d168f:0xb9072c1ebf424283!8m2!3d40.750468!4d-73.980608!16s%2Fg%2F11cs4g98cp!19sChIJjxZ92gBZwokRg0JCvx4sB7k?authuser=0&hl=en&rclk=1"
"The Village Law Firm","","Cool","40","You've built a solid foundation (41 reviews, 5★). The next leverage point is consistent paid acquisition. I'd be happy to share what's working for similar local businesses.","(212) 431-7526","info@thevillagelawfirm.com","Role","41","5","http://www.thevillagelawfirm.com/","Own site","","The Village Law Firm","Law firm ·  · 1270 6th Ave 7th Floor","info@thevillagelawfirm.com","https://www.google.com/maps/place/The+Village+Law+Firm/data=!4m7!3m6!1s0x89c6c63100b8bf57:0x2277d50143b898ec!8m2!3d40.7600144!4d-73.9801312!16s%2Fg%2F12hkk08j1!19sChIJV7-4ADHGxokR7Ji4QwHVdyI?authuser=0&hl=en&rclk=1"
"Jeffrey B. Peltz, P.C.","","Cool","54","Your site is solid. With 210 reviews and 4.9★, the growth ceiling now is paid acquisition, not website. I helped Meal JOY 3x revenue with Meta ads (~5x ROAS over 3 months). Happy to walk through what would translate.","(718) 625-0800","","","210","4.9","https://www.aaalawyer.com/","Own site","","Attorney","225 Broadway #1900, New York, NY 10007","","https://www.google.com/maps/place/Jeffrey+B.+Peltz,+P.C./data=!4m7!3m6!1s0x89c25a4916262c47:0x12414772a0de7223!8m2!3d40.7117496!4d-74.0086667!16s%2Fg%2F1v3lqwm5!19sChIJRywmFklawokRI3LeoHJHQRI?authuser=0&hl=en&rclk=1"
"Linden Law - The Linden Lawyer","","Warm","58","Your site is solid. With 185 reviews and 4.9★, the growth ceiling now is paid acquisition, not website. I helped Meal JOY 3x revenue with Meta ads (~5x ROAS over 3 months). Happy to walk through what would translate.","(212) 804-8440","jason@linden.law","Personal","185","4.9","http://www.linden.law/","Own site","","Linden Law - The Linden Lawyer","Personal injury attorney ·  · 250 W 57th St Ste 432a","jason@linden.law; jdrew804@gmail.com","https://www.google.com/maps/place/Linden+Law+-+The+Linden+Lawyer/data=!4m7!3m6!1s0x89c258551f15d293:0x681550ec7551d23d!8m2!3d40.7662424!4d-73.9824061!16s%2Fg%2F11dxnsrjgr!19sChIJk9IVH1VYwokRPdJRdexQFWg?authuser=0&hl=en&rclk=1"
"Cordero Law LLC","","Cool","48","You've built a solid foundation (55 reviews, 4.8★). The next leverage point is consistent paid acquisition. I'd be happy to share what's working for similar local businesses.","(212) 960-8890","info@corderolawgroup.com","Role","55","4.8","https://www.corderolawgroup.com/","Own site","","Legal services","1330 6th Ave #23A, New York, NY 10019","info@corderolawgroup.com","https://www.google.com/maps/place/Cordero+Law+LLC/data=!4m7!3m6!1s0x89c2598d3802c763:0xc6636511b12e6039!8m2!3d40.7619114!4d-73.9784542!16s%2Fg%2F11bwkh_tvr!19sChIJY8cCOI1ZwokROWAusRFlY8Y?authuser=0&hl=en&rclk=1"
"Anderson & Associates Law, P.C.","","Cool","48","You've built a solid foundation (56 reviews, 4.9★). The next leverage point is consistent paid acquisition. I'd be happy to share what's working for similar local businesses.","(646) 201-9117","admin@aalawpc.com","Generic","56","4.9","http://www.aalawpc.com/","Own site","","Anderson & Associates Law, P.C.","Law firm ·  · 347 W 36th St. #1003","admin@aalawpc.com","https://www.google.com/maps/place/Anderson+%26+Associates+Law,+P.C./data=!4m7!3m6!1s0x89c25a138eec3631:0x5b02e86411974fb5!8m2!3d40.7544588!4d-73.9943963!16s%2Fg%2F11bccjdb8m!19sChIJMTbsjhNawokRtU-XEWToAls?authuser=0&hl=en&rclk=1"
"Law Offices of Craig Delsack, LLC","","Skip","32","You've built a solid foundation (43 reviews, 4.5★). The next leverage point is consistent paid acquisition. I'd be happy to share what's working for similar local businesses.","(212) 688-8944","","","43","4.5","http://www.nyccounsel.com/","Own site","","Law Offices of Craig Delsack, LLC","Columbus Cir, New York, NY 10107","","https://www.google.com/maps/place/Law+Offices+of+Craig+Delsack,+LLC/data=!4m7!3m6!1s0x89c258fabb2200ef:0x6008219083817d20!8m2!3d40.7662767!4d-73.9825212!16s%2Fg%2F1tgdpglv!19sChIJ7wAiu_pYwokRIH2Bg5AhCGA?authuser=0&hl=en&rclk=1"
"The Law Office of Stuart J. Goodman","","Cool","40","You've built a solid foundation (43 reviews, 4.8★). The next leverage point is consistent paid acquisition. I'd be happy to share what's working for similar local businesses.","(844) 200-3476","info@lawfirminny.com","Role","43","4.8","http://www.lawfirminny.com/","Own site","","Legal services","244 5th Ave #2012, New York, NY 10001","info@lawfirminny.com","https://www.google.com/maps/place/The+Law+Office+of+Stuart+J.+Goodman/data=!4m7!3m6!1s0x89c259a66b264785:0xceebd7f08c833b02!8m2!3d40.744617!4d-73.987655!16s%2Fg%2F11c3kcnyk1!19sChIJhUcma6ZZwokRAjuDjPDX684?authuser=0&hl=en&rclk=1"
"Tacopina Seigel & DeOreo - Criminal Lawyers in NYC","","Cool","48","You've built a solid foundation (51 reviews, 4.9★). The next leverage point is consistent paid acquisition. I'd be happy to share what's working for similar local businesses.","(212) 227-8877","info@tacopinalaw.com","Role","51","4.9","https://www.tacopinalaw.com/?utm_source=Google&utm_medium=GMB","Own site","","Law firm","275 Madison Ave Ste 3500, New York, NY 10016","info@tacopinalaw.com","https://www.google.com/maps/place/Tacopina+Seigel+%26+DeOreo+-+Criminal+Lawyers+in+NYC/data=!4m7!3m6!1s0x89c259011e131cb9:0xe2d0fcf4f9b968b3!8m2!3d40.7512691!4d-73.9799887!16s%2Fg%2F1thd7lmq!19sChIJuRwTHgFZwokRs2i5-fT80OI?authuser=0&hl=en&rclk=1"
"Norman Spencer Law Group PC","","Cool","44","You've built a solid foundation (55 reviews, 5★). The next leverage point is consistent paid acquisition. I'd be happy to share what's working for similar local businesses.","(212) 577-6677","","","55","5","https://www.nycriminallawyers.com/","Own site","","Law firm","","","https://www.google.com/maps/place/Norman+Spencer+Law+Group+PC/data=!4m7!3m6!1s0x89c25a17473f890f:0x8ed6b6d9090ea714!8m2!3d40.7142162!4d-74.0040637!16s%2Fg%2F1th0nts3!19sChIJD4k_RxdawokRFKcOCdm21o4?authuser=0&hl=en&rclk=1"
